feature,ks_stat,p_value,n_train,n_live
close,1.0,3.0156733048129834e-144,1611,84
high,1.0,3.0156733048129834e-144,1611,84
low,1.0,3.0156733048129834e-144,1611,84
open,1.0,3.0156733048129834e-144,1611,84
volume,0.7906136383790016,5.417799380463528e-53,1611,84
macd,0.6507936507936508,2.3512807338350425e-33,1611,84
macd_signal,0.5934645739115013,3.222017969546458e-27,1611,84
rsi14,0.25376873281901213,5.0985652573588124e-05,1611,84
ret10,0.19774762791522568,0.0032650051830228335,1611,84
mkt_ret5,0.1548949188613993,0.03858089180615188,1611,84
vix_chg1,0.13576305755076704,0.09555204262372591,1611,84
vol10,0.12585350713842333,0.14579051895564116,1611,84
mkt_ret1,0.09306553161301764,0.4648242833956623,1611,84
ret5,0.09244479914870976,0.47330510581005053,1611,84
volz,0.08974017912565399,0.511115454696822,1611,84
ret1,0.08767846058348852,0.5407341570815956,1611,84
