tau,precision,coverage,support
0.5,0.5642458100558659,0.358,179
0.51,0.5755813953488372,0.344,172
0.52,0.5723270440251572,0.318,159
0.53,0.574468085106383,0.282,141
0.54,0.576,0.25,125
0.55,0.5862068965517241,0.232,116
0.56,0.6019417475728155,0.206,103
0.57,0.6129032258064516,0.186,93
0.58,0.5714285714285714,0.154,77
0.59,0.59375,0.128,64
0.6,0.5666666666666667,0.12,60
0.61,0.5892857142857143,0.112,56
0.62,0.6,0.1,50
0.63,0.5952380952380952,0.084,42
0.64,0.625,0.08,40
0.65,0.631578947368421,0.076,38
0.66,0.6486486486486487,0.074,37
0.67,0.625,0.064,32
0.68,0.6451612903225806,0.062,31
0.69,0.6333333333333333,0.06,30
0.7,0.5925925925925926,0.054,27
0.71,0.5652173913043478,0.046,23
0.72,0.5454545454545454,0.044,22
0.73,0.5238095238095238,0.042,21
0.74,0.5882352941176471,0.034,17
0.75,0.5882352941176471,0.034,17
0.76,0.5882352941176471,0.034,17
0.77,0.5714285714285714,0.028,14
0.78,0.5384615384615384,0.026,13
0.79,0.5,0.024,12
0.8,0.45454545454545453,0.022,11
0.81,0.5555555555555556,0.018,9
0.82,0.625,0.016,8
0.83,0.5,0.012,6
0.84,0.5,0.012,6
0.85,0.75,0.008,4
0.86,0.6666666666666666,0.006,3
0.87,0.5,0.004,2
0.88,0.5,0.004,2
0.89,0.5,0.004,2
0.9,0.5,0.004,2
0.91,0.0,0.002,1
0.92,0.0,0.002,1
0.93,0.0,0.002,1
0.94,0.0,0.002,1
0.95,0.0,0.002,1
0.96,0.0,0.002,1
0.97,0.0,0.002,1
